tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-life-stage,animal-mass,attachment-type,deployment-comments,deployment-id,duty-cycle,study-site,tag-manufacturer-name,tag-mass,tag-model
42500,Butterball,Cathartes aura,2003-11-14 16:00:00.000,2004-03-14 20:00:01.000,migratory,adult,2372.0,harness,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps,42500-Butterball,1 fix per hour,East Coast of North America,Microwave Telemetry,70.0,PTT100
52067,Irma,Cathartes aura,2004-09-06 17:00:00.000,2013-03-18 22:00:01.000,non-migratory,adult,2012.0,harness,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps,52067-Irma,1 fix per hour,East Coast of North America,Microwave Telemetry,70.0,PTT100
42500,Schaumboch,Cathartes aura,2004-10-08 15:00:00.000,2006-03-29 17:00:01.000,migratory,adult,1951.0,harness,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps,42500-Schaumboch,1 fix per hour,East Coast of North America,Microwave Telemetry,70.0,PTT100
52069,Disney,Cathartes aura,2004-10-11 14:00:00.000,2011-10-18 23:00:01.000,migratory,adult,2108.0,harness,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps,52069-Disney,1 fix per hour,East Coast of North America,Microwave Telemetry,70.0,PTT100
57954,Prado,Cathartes aura,2005-11-02 15:00:00.000,2009-07-07 00:00:01.000,non-migratory,adult,1710.0,harness,trapped in California using walk-in traps,57954-Prado,1 fix per hour,West Coast of North America,Microwave Telemetry,70.0,PTT100
57955,Sarkis,Cathartes aura,2006-02-25 23:00:00.000,2007-06-02 20:00:01.000,migratory,adult,1810.0,harness,trapped in California using walk-in traps,57955-Sarkis,1 fix per hour,West Coast of North America,Microwave Telemetry,70.0,PTT100
57957,Morongo,Cathartes aura,2006-04-10 04:00:00.000,2009-04-05 22:00:01.000,migratory,adult,1750.0,harness,trapped in California using walk-in traps,57957-Morongo,1 fix per hour,West Coast of North America,Microwave Telemetry,70.0,PTT100
57956,Rosalie,Cathartes aura,2006-04-11 04:00:00.000,2010-03-28 00:00:01.000,migratory,adult,1975.0,harness,trapped in California using walk-in traps,57956-Rosalie,1 fix per hour,West Coast of North America,Microwave Telemetry,70.0,PTT100
65545,Leo,Cathartes aura,2007-09-24 17:00:00.000,2013-03-15 12:00:01.000,migratory,adult,,harness,trapped on their nests in Saskatchewan,65545-Leo,1 fix per hour,Interior of North America,Microwave Telemetry,70.0,PTT100
65544,Mac,Cathartes aura,2007-09-27 20:00:00.000,2008-09-13 16:00:01.000,migratory,adult,,harness,trapped on their nests in Saskatchewan,65544-Mac,1 fix per hour,Interior of North America,Microwave Telemetry,70.0,PTT100
84796,Young Luro,Cathartes aura,2009-03-31 15:00:00.000,2012-09-19 21:00:01.000,migratory,juvenile,,harness,trapped in La Pampa Argentina using walk-in and noose-string traps,84796-Young Luro,1 fix every 3 hours,Interior of South America,Northstar Science and Technology,40.0,40GPS
85753,Steamhouse 1,Cathartes aura,2009-09-25 18:20:39.000,2011-11-25 06:01:01.000,migratory,adult,1600.0,harness,trapped on their nests in Saskatchewan,85753-Steamhouse 1,1 fix every 3 hours,Interior of North America,Northstar Science and Technology,40.0,40GPS
85754,Steamhouse 2,Cathartes aura,2009-09-30 15:00:39.000,2013-03-19 03:00:01.000,migratory,adult,1900.0,harness,trapped on their nests in Saskatchewan,85754-Steamhouse 2,1 fix every 3 hours,Interior of North America,Northstar Science and Technology,40.0,40GPS
85756,Mary,Cathartes aura,2009-10-20 09:00:46.000,2012-10-21 21:01:01.000,non-migratory,adult,2426.0,harness,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps,85756-Mary,1 fix every 3 hours,East Coast of North America,Northstar Science and Technology,40.0,40GPS
85755,Mark,Cathartes aura,2009-10-26 18:00:24.000,2012-10-03 21:00:01.000,migratory,adult,2431.0,harness,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps,85755-Mark,1 fix every 3 hours,East Coast of North America,Northstar Science and Technology,40.0,40GPS
84797,Domingo,Cathartes aura,2011-03-20 12:00:00.000,2012-05-30 18:00:01.000,migratory,adult,,harness,trapped in La Pampa Argentina using walk-in and noose-string traps,84797-Domingo,1 fix every 3 hours,Interior of South America,Northstar Science and Technology,40.0,40GPS
53798,Whitey,Cathartes aura,2011-03-26 13:52:00.000,2012-10-12 03:39:01.000,migratory,adult,,harness,trapped in La Pampa Argentina using walk-in and noose-string traps,53798-Whitey,1 fix every 3 hours,Interior of South America,Northstar Science and Techology,40.0,40GPS
53797,La Pampa,Cathartes aura,2011-04-16 15:51:00.000,2012-09-26 00:54:01.000,migratory,adult,,harness,trapped in La Pampa Argentina using walk-in and noose-string traps,53797-La Pampa,1 fix every 3 hours,Interior of South America,Northstar Science and Technology,40.0,40GPS
53800,Argentina,Cathartes aura,2011-04-19 16:36:00.000,2012-09-23 03:13:01.000,migratory,adult,,harness,trapped in La Pampa Argentina using walk-in and noose-string traps,53800-Argentina,1 fix every 3 hours,Interior of South America,Northstar Science and Technology,40.0,40GPS
