tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-comments,animal-death-comments,animal-life-stage,animal-mass,animal-sex,animal-taxon-detail,attachment-type,deploy-on-person,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,manipulation-type,study-site,tag-manufacturer-name,tag-mass,tag-model,tag-production-date,tag-readout-method,tag-serial-no
42500,Butterball,Cathartes aura,2003-11-05 00:00:00.000,2004-04-19 23:59:00.000,migratory,,adult,2372.0,m,Cathartes aura septentrionalis,harness,Jamie Mandel,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps; part or all data used in Dodge et al (2014),,,42500-Butterball,1 fix per hour,none,Eastern USA,Microwave Telemetry,70.0,PTT100,,satellite,
52067,Irma,Cathartes aura,2004-09-06 00:00:00.000,,non-migratory,,adult,2012.0, ,Cathartes aura septentrionalis,harness,Jamie Mandel,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps; part or all data used in Dodge et al (2014),,,52067-Irma,1 fix per hour,none,Eastern USA,Microwave Telemetry,70.0,PTT100,,satellite,
42500,Schaumboch,Cathartes aura,2004-09-14 00:00:00.000,2006-05-07 23:59:00.000,migratory,,adult,1951.0, ,Cathartes aura septentrionalis,harness,Jamie Mandel,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps; part or all data used in Dodge et al (2014); data through 11/16/04 used in Grana Grilli et al (2016),,,42500-Schaumboch,1 fix per hour,none,Eastern USA,Microwave Telemetry,70.0,PTT100,,satellite,
52069,Disney,Cathartes aura,2004-09-19 00:00:00.000,2011-10-19 00:00:00.000,migratory,,adult,2108.0, ,Cathartes aura septentrionalis,harness,Jamie Mandel,trapped in Pennsylvania using padded-leg hold traps and monofilament noose traps; part or all data used in Dodge et al (2014); data through 11/03/10 used in Grana Grilli et al (2016),,unknown,52069-Disney,1 fix per hour,none,Eastern USA,Microwave Telemetry,70.0,PTT100,,satellite,
57952,Sill,Cathartes aura,2005-06-19 00:00:00.000,2005-10-31 23:59:00.000,migratory,,adult,1460.0, ,Cathartes aura meridionalis,harness,Marc Bechard,trapped on their nests in Saskatchewan; data through 10/28/05 used in Grana Grilli et al (2016),,,57952-Sill,1 fix per hour,none,Central Canada,Microwave Telemetry,70.0,PTT100,,satellite,
57953,Blizzard,Cathartes aura,2005-06-22 00:00:00.000,2005-10-07 23:59:00.000,migratory,,adult,1800.0, ,Cathartes aura meridionalis,harness,Marc Bechard,trapped on their nests in Saskatchewan;,,dead,57953-Blizzard,1 fix per hour,none,Central Canada,Microwave Telemetry,70.0,PTT100,,satellite,
57954,Prado,Cathartes aura,2005-11-02 00:00:00.000,2009-08-05 23:59:00.000,non-migratory,,adult,1710.0, ,Cathartes aura aura,harness,Peter Bloom,trapped in California using walk-in traps; part or all data used in Dodge et al (2014),,,57954-Prado,1 fix per hour,none,Western USA,Microwave Telemetry,70.0,PTT100,,satellite,
57955,Sarkis,Cathartes aura,2006-02-20 00:00:00.000,2008-04-14 23:59:00.000,migratory,,adult,1810.0, ,Cathartes aura aura,harness,Peter Bloom,trapped in California using walk-in traps; part or all data used in Dodge et al (2014),,,57955-Sarkis,1 fix per hour,none,Western USA,Microwave Telemetry,70.0,PTT100,,satellite,
57957,Morongo,Cathartes aura,2006-03-18 00:00:00.000,2009-05-28 23:59:00.000,migratory,,adult,1750.0, ,Cathartes aura aura,harness,Marc Bechard,trapped in California using walk-in traps; part or all data used in Dodge et al (2014),,,57957-Morongo,1 fix per hour,none,Western USA,Microwave Telemetry,70.0,PTT100,,satellite,
57956,Rosalie,Cathartes aura,2006-03-18 23:59:00.000,2010-03-28 23:59:00.000,migratory,,adult,1975.0, ,Cathartes aura aura,harness,Peter Bloom,trapped in California using walk-in traps; part or all data used in Dodge et al (2014),,,57956-Rosalie,1 fix per hour,none,Western USA,Microwave Telemetry,70.0,PTT100,,satellite,
