tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,attachment-type,deployment-end-comments,deployment-end-type,deployment-id,manipulation-type,tag-manufacturer-name,tag-mass,tag-readout-method
171,6,Cathartes aura,2013-06-17 13:19:20.000,2015-09-01 04:37:25.000,adult,m,harness,Active at end of study,other,171-6,none,Microwave,70.0,phone-network
167,8,Coragyps atratus,2013-06-18 23:23:34.000,2014-06-18 22:02:41.000,adult,m,harness,Transmission ceased; bird fate unknown.,unknown,167-8,none,Microwave,70.0,phone-network
162,12,Coragyps atratus,2013-06-20 16:40:40.000,2015-09-01 09:52:41.000,adult,m,harness,Active at end of study,other,162-12,none,Microwave,70.0,phone-network
165,22,Coragyps atratus,2013-06-20 17:36:23.000,2015-09-01 03:07:07.000,adult,f,harness,Vulture deceased,dead,165-22,none,Microwave,70.0,phone-network
163,1,Cathartes aura,2013-06-26 14:07:33.000,2015-09-01 04:28:52.000,adult,f,harness,Active at end of study,other,163-1,none,Microwave,70.0,phone-network
173,3,Cathartes aura,2013-06-26 14:38:58.000,2015-09-01 04:52:35.000,adult,f,harness,Active at end of study,other,173-3,none,Microwave,70.0,phone-network
180,13,Cathartes aura,2013-06-27 18:39:55.000,2013-12-21 15:16:23.000,adult,f,harness,Transmission ceased; bird fate unknown,unknown,180-13,none,Microwave,70.0,phone-network
161,47,Coragyps atratus,2013-07-03 16:06:48.000,2015-09-01 04:31:54.000,adult,f,harness,Active at end of study,other,161-47,none,Microwave,70.0,phone-network
177,48,Coragyps atratus,2013-07-03 18:51:03.000,2014-09-22 16:35:20.000,adult,m,harness,Transmitter dropped; bird fate unknown; transmitter redeployed,fall-off,177-48,none,Microwave,70.0,phone-network
172,60,Cathartes aura,2013-07-05 12:52:58.000,2015-09-01 04:58:46.000,adult,m,harness,Active at end of study,other,172-60,none,Microwave,70.0,phone-network
178,57,Coragyps atratus,2013-07-05 16:39:00.000,2014-03-21 19:44:56.000,adult,f,harness,Deceased; transmitter redeployed.,dead,178-57,none,Microwave,70.0,phone-network
176,75,Cathartes aura,2013-07-09 15:31:45.000,2015-09-01 04:46:12.000,adult,m,harness,Active at end of study,other,176-75,none,Microwave,70.0,phone-network
166,90,Cathartes aura,2013-07-30 14:34:17.000,2015-09-01 02:56:53.000,adult,m,harness,Active at end of study,other,166-90,none,Microwave,70.0,phone-network
179,91,Cathartes aura,2013-07-31 15:52:51.000,2015-09-01 04:55:41.000,adult,m,harness,Active at end of study,other,179-91,none,Microwave,70.0,phone-network
175,92,Coragyps atratus,2013-08-02 12:47:47.000,2015-09-01 04:21:36.000,adult,f,harness,Active at end of study,other,175-92,none,Microwave,70.0,phone-network
168,108,Coragyps atratus,2014-04-21 18:40:25.000,2015-09-01 04:20:15.000,adult,m,harness,Active at end of study,other,168-108,none,Microwave,70.0,phone-network
178,123,Cathartes aura,2014-04-23 19:44:16.000,2015-09-01 04:48:56.000,adult,m,harness,Active at end of study,other,178-123,none,Microwave,70.0,phone-network
174,126,Coragyps atratus,2014-05-01 13:38:20.000,2015-09-01 04:54:57.000,adult,m,harness,Active at end of study,other,174-126,none,Microwave,70.0,phone-network
